price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
96264.43652,Fib_0.639_daily,daily,2025-05-06,fibonacci,2025-05-02,2025-05-06,high_to_low,,0,1
96277.62988,Fib_0.639_daily,daily,2025-02-28,fibonacci,2025-01-30,2025-02-28,high_to_low,,0,1
96283.325,Fib_0.50_daily,daily,2025-02-12,fibonacci,2025-02-11,2025-02-12,high_to_low,,0,1
96299.0,VP_val,daily,,volume_profile,,,,2025-02-23,0,1
96301.0,VP_val,daily,,volume_profile,,,,2025-02-18,0,1
96303.0,VP_vah,daily,,volume_profile,,,,2025-02-22,0,1
96326.0,VP_poc,daily,,volume_profile,,,,2025-05-03,0,1
96334.0,VP_val,daily,,volume_profile,,,,2025-02-24,0,1
96410.0,VP_vah,daily,,volume_profile,,,,2025-02-07,0,1
96412.0,VP_vah,daily,,volume_profile,,,,2025-02-16,0,1
96431.545,Fib_0.50_daily,daily,2025-02-21,fibonacci,2025-02-18,2025-02-21,low_to_high,,0,1
96444.75,HTF_Level_daily,daily,2025-02-09,htf,,,,,0,1
96457.115,Fib_0.50_daily,daily,2025-02-14,fibonacci,2025-02-12,2025-02-14,low_to_high,,0,1
96460.0,VP_val,daily,,volume_profile,,,,2025-05-03,0,1
96462.0,VP_vah,daily,,volume_profile,,,,2025-05-07,0,1
96480.0,VP_val,daily,,volume_profile,,,,2025-02-13,0,1
96486.0,VP_val,daily,,volume_profile,,,,2025-02-19,0,1
96487.6125,Fib_0.75_daily,daily,2025-05-12,fibonacci,2025-05-06,2025-05-12,low_to_high,,0,1
96489.0,VP_vah,daily,,volume_profile,,,,2025-02-14,0,1
96510.0,VP_poc,daily,,volume_profile,,,,2025-02-09,0,1
96511.0,VP_val,daily,,volume_profile,,,,2025-02-17,0,1
96527.0,VP_poc,daily,,volume_profile,,,,2025-02-22,0,1
96551.01,HTF_Level_daily,daily,2025-02-23,htf,,,,,0,1
96557.0,VP_val,daily,,volume_profile,,,,2025-02-08,0,1
96579.0,VP_poc,daily,,volume_profile,,,,2025-01-14,0,1
96579.0,VP_vah,daily,,volume_profile,,,,2025-05-02,0,1
96595.71,Fib_0.50_daily,daily,2025-02-11,fibonacci,2025-02-09,2025-02-11,low_to_high,,0,1
96596.29291,Fib_0.639_daily,daily,2025-01-20,fibonacci,2025-01-13,2025-01-20,low_to_high,,0,1
96608.13,HTF_Level_daily,daily,2025-02-14,htf,,,,,0,1
96621.7625,Fib_0.25_daily,daily,2025-05-02,fibonacci,2025-04-28,2025-05-02,low_to_high,,0,1
96640.0,VP_poc,daily,,volume_profile,,,,2025-02-06,0,1
96700.0,VP_val,daily,,volume_profile,,,,2025-02-22,0,1
96701.00572,Fib_0.639_daily,daily,2025-02-28,fibonacci,2025-01-24,2025-02-28,high_to_low,,0,1
96708.0,VP_vah,daily,,volume_profile,,,,2025-02-21,0,1
96763.04,Fib_0.50_daily,daily,2025-02-18,fibonacci,2025-02-07,2025-02-18,high_to_low,,0,1
96766.01,Fib_0.75_daily,daily,2025-05-06,fibonacci,2025-05-02,2025-05-06,high_to_low,,0,1
96782.0,VP_vah,daily,,volume_profile,,,,2025-02-20,0,1
96797.0,VP_poc,daily,,volume_profile,,,,2025-01-02,0,1
96797.0,VP_poc,daily,,volume_profile,,,,2025-01-03,0,1
96831.0,VP_poc,daily,,volume_profile,,,,2025-02-14,0,1
96854.0,VP_poc,daily,,volume_profile,,,,2025-05-01,0,1
96862.91449,Fib_0.639_daily,daily,2025-02-18,fibonacci,2025-02-14,2025-02-18,high_to_low,,0,1
96876.0,VP_poc,daily,,volume_profile,,,,2025-05-07,0,1
96884.0,VP_vah,daily,,volume_profile,,,,2025-02-10,0,1
96886.0,VP_poc,daily,,volume_profile,,,,2025-05-02,0,1
96887.13,HTF_Level_daily,daily,2025-05-03,htf,,,,,0,1
96893.56141,Fib_0.639_daily,daily,2025-02-12,fibonacci,2025-02-11,2025-02-12,high_to_low,,0,1
96921.0,VP_val,daily,,volume_profile,,,,2025-02-12,0,1
96924.12,Fib_0.639_daily,daily,2025-04-07,fibonacci,2025-01-20,2025-04-07,high_to_low,,0,1
96931.0,VP_poc,daily,,volume_profile,,,,2025-02-16,0,1
