open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-20 21:00:00,68781.98,68870.0,68658.0,68770.0,463.65363,2024-10-20 21:59:59.999,31873385.12801980,61722,227.37126000,15628996.12785000,0,False,False
2024-10-20 22:00:00,68770.0,69400.0,68600.0,69137.28,2772.83894,2024-10-20 22:59:59.999,191443929.46139650,310985,1653.59720000,114174654.98636330,0,False,False
2024-10-20 23:00:00,69137.28,69196.16,68923.32,69031.99,934.633,2024-10-20 23:59:59.999,64548976.18358500,175457,514.75110000,35550960.94647580,0,False,False
2024-10-21 00:00:00,69032.0,69519.52,68972.56,69160.0,1511.98728,2024-10-21 00:59:59.999,104745596.63735610,189853,956.41668000,66260437.18535280,0,True,False
2024-10-21 01:00:00,69160.0,69480.0,69106.0,69210.89,726.66974,2024-10-21 01:59:59.999,50366494.78442170,157568,388.66970000,26938575.57720000,0,False,False
2024-10-21 02:00:00,69210.88,69266.64,68709.87,68710.0,1082.59587,2024-10-21 02:59:59.999,74672771.71856040,110097,624.90747000,43103240.28529580,0,False,False
2024-10-21 03:00:00,68709.99,68940.0,68588.51,68939.99,704.09672,2024-10-21 03:59:59.999,48430880.46273380,104835,396.19060000,27256463.30976430,0,False,True
2024-10-21 04:00:00,68940.0,69039.0,68795.75,69039.0,546.23263,2024-10-21 04:59:59.999,37632081.61902610,57714,264.42574000,18219862.74846320,0,False,False
2024-10-21 05:00:00,69039.0,69185.18,68951.27,68979.97,590.83933,2024-10-21 05:59:59.999,40805399.79450390,78749,235.53883000,16268553.86886410,0,True,False
2024-10-21 06:00:00,68979.96,69146.51,68639.9,68699.36,697.48997,2024-10-21 06:59:59.999,48109698.83358280,96884,283.69960000,19569097.89826860,0,False,False
2024-10-21 07:00:00,68699.36,68799.95,68488.33,68514.0,822.48063,2024-10-21 07:59:59.999,56457314.61102920,148519,369.07165000,25336925.08176280,0,False,False
2024-10-21 08:00:00,68513.99,68661.0,68290.04,68301.46,1026.84906,2024-10-21 08:59:59.999,70318515.35481600,121833,347.83691000,23822488.92455140,0,False,False
2024-10-21 09:00:00,68301.47,68426.0,68119.01,68378.0,1084.12302,2024-10-21 09:59:59.999,74042612.94322040,154840,443.96242000,30326179.77690510,0,False,True
2024-10-21 10:00:00,68377.99,68482.87,68261.61,68281.49,1318.07234,2024-10-21 10:59:59.999,90154392.51752320,104832,582.29380000,39835099.06079040,0,False,False
2024-10-21 11:00:00,68281.5,68434.0,68169.02,68238.01,815.1721,2024-10-21 11:59:59.999,55678055.89474240,112598,343.76074000,23480509.27601650,0,False,False
2024-10-21 12:00:00,68238.0,68328.68,68046.0,68207.27,885.71411,2024-10-21 12:59:59.999,60390997.08444350,123828,333.58913000,22748503.29546790,0,False,False
2024-10-21 13:00:00,68207.26,68242.0,67152.0,67312.0,5358.21525,2024-10-21 13:59:59.999,362448072.80765320,413584,1538.61245000,104021678.39074150,0,False,False
2024-10-21 14:00:00,67312.01,67620.25,67020.0,67268.0,3713.85728,2024-10-21 14:59:59.999,250050972.53900710,354163,1419.22580000,95577820.18428010,0,False,False
2024-10-21 15:00:00,67268.0,67347.96,66840.67,67341.02,2856.87172,2024-10-21 15:59:59.999,191469203.95289390,287707,1505.12329000,100883123.68125390,0,False,True
