price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period
97136.0,VP_poc,daily,,volume_profile,,,,2024-12-20
97146.0,VP_vah,daily,,volume_profile,,,,2024-12-19
97185.17,HTF_Level_daily,daily,2024-12-02,htf,,,,
97208.0,VP_val,daily,,volume_profile,,,,2024-11-27
97307.0,VP_poc,daily,,volume_profile,,,,2024-11-29
97316.00749999999,Fib_0.75_daily,daily,2024-12-05,fibonacci,2024-11-22,2024-12-05,high_to_low,
97388.7825,Fib_0.75_daily,daily,2024-11-26,fibonacci,2024-11-22,2024-11-26,high_to_low,
97395.0,VP_poc,daily,,volume_profile,,,,2024-12-21
97439.55,Fib_0.50_daily,daily,2024-12-05,fibonacci,2024-11-26,2024-12-05,low_to_high,
97460.0,HTF_Level_daily,daily,2024-11-30,htf,,,,
97461.86,HTF_Level_daily,daily,2024-12-20,htf,,,,
97500.0,VP_poc,daily,,volume_profile,,,,2024-12-02
97536.0,VP_poc,daily,,volume_profile,,,,2024-11-21
97579.75,Fib_0.25_daily,daily,2024-12-17,fibonacci,2024-10-23,2024-12-17,low_to_high,
97655.0,VP_val,daily,,volume_profile,,,,2024-12-04
97672.4,HTF_Level_daily,daily,2024-11-24,htf,,,,
97700.7875,Fib_0.75_daily,daily,2024-12-17,fibonacci,2024-12-09,2024-12-17,low_to_high,
97766.0,VP_val,daily,,volume_profile,,,,2024-12-01
97787.0,VP_val,daily,,volume_profile,,,,2024-12-20
97805.44,HTF_Level_daily,daily,2024-12-21,htf,,,,
97832.0,VP_poc,daily,,volume_profile,,,,2024-12-06
97869.0,VP_vah,daily,,volume_profile,,,,2024-11-23
97900.05,HTF_Level_daily,daily,2024-11-25,htf,,,,
97953.0,VP_vah,daily,,volume_profile,,,,2024-12-25
97973.5,Fib_0.25_daily,daily,2024-12-17,fibonacci,2024-11-04,2024-12-17,low_to_high,
98048.0,VP_val,daily,,volume_profile,,,,2024-12-10
98073.0,VP_val,daily,,volume_profile,,,,2024-12-02
98123.0,VP_vah,daily,,volume_profile,,,,2024-12-11
98138.0,VP_val,daily,,volume_profile,,,,2024-12-24
98166.0,VP_poc,daily,,volume_profile,,,,2024-12-25
98203.0,VP_poc,daily,,volume_profile,,,,2024-11-25
98295.0,VP_val,daily,,volume_profile,,,,2024-11-21
98338.0,VP_vah,daily,,volume_profile,,,,2024-11-22
98347.0,VP_val,daily,,volume_profile,,,,2024-12-21
98382.0,VP_poc,daily,,volume_profile,,,,2024-11-24
98430.0,VP_poc,daily,,volume_profile,,,,2024-11-23
98535.0,VP_val,daily,,volume_profile,,,,2024-11-24
98553.0,VP_val,daily,,volume_profile,,,,2024-11-29
98587.32,HTF_Level_daily,daily,2024-12-05,htf,,,,
98619.99,Fractal_High,daily,2024-11-29,fractal,,,,
98839.0,VP_val,daily,,volume_profile,,,,2024-12-25
98872.0,VP_val,daily,,volume_profile,,,,2024-11-25
